"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Email Field","Email address validation","Missing @ char","1","0","0","0","0"
"First Name Field","Summary page data validation","First name data validation on Summary Page","1","0","0","0","0"
"Last Name Field","Character Validation","EMPTY","0","0","1","0","0"
"Password Field","Password masking validation","Password field masking","1","0","0","0","0"
"Last Name Field","Summary page data validation","Last name data validation on Summary Page","1","0","0","0","0"
"Password Field","Password confirmation validation","Different password","1","0","0","0","0"
"Email Field","Email address validation","Missing . char","1","0","0","0","0"
"Last Name Field","Character Validation","NUMBER","1","0","0","0","0"
"First Name Field","Character Long Validation","MAX CHARACTER +1","1","0","0","0","0"
"Birth Date Field","Birth Date Validation","Back to the Future","1","0","0","0","0"
